id,image_slot,author,poem_title,category,mood,stanza,source,license
LS082,image_082,Samuel Taylor Coleridge,SCENE II,Love & Separation,Romantic,"_Alvar._ I dreamt I had a friend, on whom I leant
With blindest trust, and a betrothéd maid,                         280
Whom I was wont to call not mine, but me:
For mine own self seem'd nothing, lacking her.
This maid so idolized, that trusted friend
Dishonoured in my absence, soul and body!
Fear, following guilt, tempted to blacker guilt,                   285
And murderers were suborned against my life.
But by my looks, and most impassioned words,
I roused the virtues that are dead in no man,
Even in the assassins' hearts! they made their terms,
And thanked me for redeeming them from murder.                     290",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
LS083,image_083,Samuel Taylor Coleridge,"Tell me, on what holy ground",Love & Separation,Romantic,"In a cottag'd vale She dwells,
Listening to the Sabbath bells!
Still around her steps are seen
Spotless Honour's meeker mien,                                      10
Love, the sire of pleasing fears,
Sorrow smiling through her tears,
And conscious of the past employ
Memory, bosom-spring of joy.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
LS084,image_084,Sara Teasdale,,Love & Separation,Romantic,"Hold me on your heart as the brave sea holds the foam,
Take me far away to the hills that hide your home;
Peace shall thatch the roof and love shall latch the door--
_But what if I heard my first love calling me once more?_",https://www.gutenberg.org/ebooks/442,Public domain / CC0 dataset
LS085,image_085,Thomas Hardy,,Love & Separation,Romantic,"WHEN, soul in soul reflected,
We breathed an æthered air,
When we neglected
All things elsewhere,
And left the friendly friendless
To keep our love aglow,
We deemed it endless . . .
—We did not know!",https://www.gutenberg.org/ebooks/3167,Public domain / CC0 dataset
LS086,image_086,Thomas Hardy,,Love & Separation,Romantic,"Sing, Ballad-singer, from your little book;
Make me forget those heart-breaks, achings, fears;
Make me forget her name, her sweet sweet look—
Make me forget her tears.",https://www.gutenberg.org/ebooks/2997,Public domain / CC0 dataset
LS087,image_087,Walt Whitman,,Love & Separation,Romantic,"To crossing swords and gray hairs bared to heaven,
The clear electric base and baritone of the world,
The trombone duo, Libertad forever!
From Spanish chestnut trees’ dense shade,
By old and heavy convent walls a wailing song,
Song of lost love, the torch of youth and life quench’d in despair,
Song of the dying swan, Fernando’s heart is breaking.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
LS088,image_088,Walt Whitman,One Hour to Madness and Joy,Love & Separation,Romantic,"O something unprov’d! something in a trance!
To escape utterly from others’ anchors and holds!
To drive free! to love free! to dash reckless and dangerous!
To court destruction with taunts, with invitations!
To ascend, to leap to the heavens of the love indicated to me!
To rise thither with my inebriate soul!
To be lost if it must be so!
To feed the remainder of life with one hour of fulness and freedom!
With one brief hour of madness and joy.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
LS089,image_089,Walt Whitman,The Wound-Dresser,Love & Separation,Romantic,"4
Thus in silence in dreams’ projections,
Returning, resuming, I thread my way through the hospitals,
The hurt and wounded I pacify with soothing hand,
I sit by the restless all the dark night, some are so young,
Some suffer so much, I recall the experience sweet and sad,
(Many a soldier’s loving arms about this neck have cross’d and rested,
Many a soldier’s kiss dwells on these bearded lips.)",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
LS090,image_090,William Blake,I dreamt a dream!  What can it mean?,Love & Separation,Romantic,"And I wept both night and day,
And he wiped my tears away;
And I wept both day and night,
And hid from him my heart’s delight.",https://www.gutenberg.org/ebooks/1934,Public domain / CC0 dataset
LS091,image_091,Alfred Tennyson,,Love & Separation,Romantic,"7.
Yet Maud, altho' not blind
To the faults of his heart and mind,
I see she cannot but love him,
And says he is rough but kind,
And wishes me to approve him,
And tells me, when she lay
Sick once, with a fear of worse,
That he left his wine and horses and play,
Sat with her, read to her, night and day,
And tended her like a nurse.",https://www.gutenberg.org/ebooks/56913,Public domain / CC0 dataset
LS092,image_092,Edgar Allan Poe,III,Love & Separation,Romantic,"_Pol._ Not hear it!—listen now—listen!—the faintest sound
And yet the sweetest that ear ever heard!
A lady’s voice!—and sorrow in the tone!
Baldazzar, it oppresses me like a spell!
Again!—again!—how solemnly it falls
Into my heart of hearts! that eloquent voice
Surely I never heard—yet it were well
Had I but heard it with its thrilling tones
In earlier days!",https://www.gutenberg.org/ebooks/76996,Public domain / CC0 dataset
LS093,image_093,Samuel Taylor Coleridge,Nor travels my meandering eye,Love & Separation,Romantic,"The tears that tremble down your cheek,
Shall bathe my kisses chaste and meek                               80
In Pity's dew divine;
And from your heart the sighs that steal
Shall make your rising bosom feel
The answering swell of mine!",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
LS094,image_094,Thomas Hardy,,Love & Separation,Romantic,"Or, if a dead Love’s lips, whom dreams reveal
When midnight imps of King Decay
Delve sly to solve me back to clay,
Should leave some print to prove her spirit-kisses real;",https://www.gutenberg.org/ebooks/3167,Public domain / CC0 dataset
LS095,image_095,Thomas Hardy,(“It being deposed that vij women who were mayds before he knew them have,Love & Separation,Romantic,"And Anne cries: “O the time was fair,
So wherefore should you burn down there?
There is a deed under the sun, my Love,
And that was ours.  What’s done is done, my Love.
These trumpets here in Heaven are dumb to me
With you away.  Dear, come, O come to me!”",https://www.gutenberg.org/ebooks/2997,Public domain / CC0 dataset
LS096,image_096,W. B. Yeats,,Love & Separation,Romantic,"She lived in storm and strife,
Her soul had such desire
For what proud death may bring
That it could not endure
The common good of life,
But lived as 'twere a king
That packed his marriage day
With banneret and pennon,
Trumpet and kettledrum,
And the outrageous cannon,
To bundle time away
That the night come.",https://www.gutenberg.org/ebooks/36865,Public domain / CC0 dataset
LS097,image_097,W. B. Yeats,,Love & Separation,Romantic,"She lived in storm and strife.
Her soul had such desire
For what proud death may bring
That it could not endure
The common good of life,
But lived as 'twere a king
That packed his marriage day
With banneret and pennon,
Trumpet and kettledrum,
And the outrageous cannon,
To bundle Time away
That the night come.",https://www.gutenberg.org/ebooks/30488,Public domain / CC0 dataset
LS098,image_098,W. B. Yeats,Suddenly I saw the cold and rook delighting Heaven,Love & Separation,Romantic,"That seemed as though ice burned and was but the more ice,
And thereupon imagination and heart were driven
So wild, that every casual thought of that and this
Vanished, and left but memories, that should be out of season
With the hot blood of youth, of love crossed long ago;
And I took all the blame out of all sense and reason,
Until I cried and trembled and rocked to and fro,
Riddled with light. Ah! when the ghost begins to quicken,
Confusion of the death-bed over, is it sent
Out naked on the roads, as the books say, and stricken
By the injustice of the skies for punishment?",https://www.gutenberg.org/ebooks/30488,Public domain / CC0 dataset
LS099,image_099,W. B. Yeats,Suddenly I saw the cold and rook-delighting Heaven,Love & Separation,Romantic,"That seemed as though ice burned and was but the more ice,
And thereupon imagination and heart were driven
So wild that every casual thought of that and this
Vanished, and left but memories, that should be out of season
With the hot blood of youth, of love crossed long ago;
And I took all the blame out of all sense and reason,
Until I cried and trembled and rocked to and fro,
Riddled with light. Ah! when the ghost begins to quicken,
Confusion of the death-bed over, is it sent
Out naked on the roads, as the books say, and stricken
By the injustice of the skies for punishment?",https://www.gutenberg.org/ebooks/36865,Public domain / CC0 dataset
LS100,image_100,Walt Whitman,Song of the Exposition,Love & Separation,Romantic,"Away with old romance!
Away with novels, plots and plays of foreign courts,
Away with love-verses sugar’d in rhyme, the intrigues, amours of idlers,
Fitted for only banquets of the night where dancers to late music slide,
The unhealthy pleasures, extravagant dissipations of the few,
With perfumes, heat and wine, beneath the dazzling chandeliers.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
LS101,image_101,Walt Whitman,Song of the Open Road,Love & Separation,Romantic,"Toward the fluid and attaching character exudes the sweat of the
love of young and old,
From it falls distill’d the charm that mocks beauty and attainments,
Toward it heaves the shuddering longing ache of contact.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
LS102,image_102,Edgar Allan Poe,I heed not that my earthly lot,Love & Separation,Romantic,"Hath little of Earth in it,
That years of love have been forgot
In the hatred of a minute:—
I mourn not that the desolate
Are happier, sweet, than I,
But that _you_ sorrow for _my_ fate
Who am a passer-by.",https://www.gutenberg.org/ebooks/76996,Public domain / CC0 dataset
LS103,image_103,Edna St. Vincent Millay,"I said,--for Love was laggard, O, Love was slow to come,--",Love & Separation,Romantic,"""I'll hear his step and know his step when I am warm in bed;
But I'll never leave my pillow, though there be some
As would let him in--and take him in with tears!"" I said.
I lay,--for Love was laggard, O, he came not until dawn,--
I lay and listened for his step and could not get to sleep;
And he found me at my window with my big cloak on,
All sorry with the tears some folks might weep!",https://www.gutenberg.org/ebooks/109,Public domain / CC0 dataset
